Source,Target,Type,Id,Label,Weight
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:fbtil5wmko3eq42axwbqrcd6,Directed,0,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:jbipsbdwvovmv56tqeha3fgo,Directed,1,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:ahenx3pmzwsblmadbds7u7cj,Directed,2,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:33auqehkw32jgmn4zwhibczf,Directed,3,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:zlvzwo7j3son73e4dkqmf5xk,Directed,4,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:qyrsrpxpu2qeeunme7icxbil,Directed,5,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:svh6dgjnpkdl4dhxahj4xvkv,Directed,6,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:yp7gtrtcmk2oi2m34ctrpm65,Directed,7,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:zx4vsr2ykpbebdsl4b76zqbx,Directed,8,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:ayiaku5sfzpuzbtgw6cmrlkd,Directed,9,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:spmsl5c7rf537wj6attsqdv2,Directed,10,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:ekuqazwupy5ega3y4odqa7zi,Directed,11,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:fodyg35g25joa5rpplt4y43g,Directed,12,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:4sfcu7flcrntncsquulgps7a,Directed,13,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:sbmgtftzfosfr7nnpqfe7voi,Directed,14,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:atgpseuasmsj43wnq5xgopny,Directed,15,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:coy3sqklwselfikft7e5i2ke,Directed,16,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:3rse45hbbcdpg7yq734gzkg4,Directed,17,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:exci7sgwfodtv2legkvmdqxa,Directed,18,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:m2wmgcijglphvecplu3o43lp,Directed,19,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:g2iwrcaucpwqb3aqwveyrikj,Directed,20,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:u3kt3k7336x6kmsg7b6qxhpm,Directed,21,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:kvzkbknck2gemuhcyacuhqe7,Directed,22,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:uknx6zxqkf3c234rqs762kgx,Directed,23,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:mghi522vwgd7flsormuzn7xt,Directed,24,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:deq44e7xh6i3yo7nqffuymxw,Directed,25,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:ubds6mbmd4xdtmbcsxhloaba,Directed,26,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:rppmhzd4sw6owniamyumey5g,Directed,27,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:nczudspix5v7c3yxwpvn2gdt,Directed,28,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:2v6leryb3aezzfpn32u3scgc,Directed,29,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:l335inyyrqj3bglz7a5sri2v,Directed,30,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:oihhwxa6gqk33c2mjidekeuk,Directed,31,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:ikjesabqb5l63t7hlivy4jw3,Directed,32,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:fw2nqr3x3udbrr7zccsepzlp,Directed,33,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:2bjw32sdaeafggyvdk57d6xp,Directed,34,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:e3bv4qsvpdpkazqw4p4v4xua,Directed,35,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:k7tbhsv2paj7ric7baqlgsun,Directed,36,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:wipl2dxstrpkftd45h6f53b2,Directed,37,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:opoocuu2fchuqihmbsrsgtmi,Directed,38,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:omnp2hsih3cfixenfu6wqxly,Directed,39,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:wlrhf55t4s3ok5ixkdmxtt3n,Directed,40,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:kw752oudd7nndfipz3z5thz5,Directed,41,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:f6jlfo6nwq5smcblomjlzwcx,Directed,42,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:txodh4x5soiprmxau6agl6hs,Directed,43,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:2r26jiyp5n7ewdtknd2wdk3n,Directed,44,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:262rlosrlfnzfbgd2jx5zd7b,Directed,45,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:nicvhid5samlk3btxa6nehe3,Directed,46,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:5laurh66fntyhivpyknvihva,Directed,47,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:omqxc7qr2td7zwnciedzclwq,Directed,48,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:y5kb5of6ko4i3c6w5l2gv7sy,Directed,49,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:cz73r7iyiqn26upot4jtjdhk,Directed,50,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:73dpznbu4wqwtcyurwbiulov,Directed,51,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:lr36xv2l64jwtnyoaqem6z2z,Directed,52,,1
did:plc:34na47mry5rtwq3l7xm6w3hc,did:plc:z72i7hdynmk6r22z27h6tvur,Directed,53,,1
did:plc:wwryv2wdcmtjacqlwhbeo33i,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,54,,1
did:plc:dhj3i656ctijpwzsm7ongdbw,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,55,,1
did:plc:hnegli43dzhzem5epgfqu4wd,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,56,,1
did:plc:rd2oomfsopsrsvl6no5jv3gl,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,57,,1
did:plc:342g2xst2coh4rimfzwfwkvd,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,58,,1
did:plc:twe5rekrmqakxbavqy4kzghh,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,59,,1
did:plc:6mkkymydmaabhkmquuubp3ml,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,60,,1
did:plc:mejcms3uble43ufqti34uh2u,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,61,,1
did:plc:ydx2m4zwi4letwkz64ghjkj7,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,62,,1
did:plc:lchh65xx7jydurg3nndxeuyt,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,63,,1
did:plc:ztesct5zen3nc5pyftyasfwe,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,64,,1
did:plc:d3ceu62zn5oub732fa3vb3jw,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,65,,1
did:plc:pqllxc6mu4ybuapbjmwjrx2m,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,66,,1
did:plc:f2a6qhnp3jdw6ex66idw5rrw,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,67,,1
did:plc:inezhohpobdx4436rmtjqqfe,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,68,,1
did:plc:xarozmihd565qpoudmjfk33e,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,69,,1
did:plc:k3ltkncdcfadlbjo25pjaozr,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,70,,1
did:plc:flns3doz7gq5wj4isod5n2up,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,71,,1
did:plc:q6bbufb66u6lrmsat4ktmepf,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,72,,1
did:plc:uwwgrkvjnchuagflu3qzjp5d,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,73,,1
did:plc:inccbux7hiowii3fnb4adogh,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,74,,1
did:plc:3m7fm2qndbgfd7nrk67czhdb,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,75,,1
did:plc:zjcseo64j42du34cf6kovweq,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,76,,1
did:plc:rxsigdorhopzpyo2oib6epdp,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,77,,1
did:plc:paodgtzp2mf54a62amcxxa3h,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,78,,1
did:plc:yaz42dyiojysszqusc7lsdtx,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,79,,1
did:plc:bfdgdjiarzx7wskwiizxjvyh,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,80,,1
did:plc:uoig2jn4exzahskdohzft66l,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,81,,1
did:plc:yzsk3uetlr2ovufgkiasif2u,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,82,,1
did:plc:6njgiymtwrxfwoslz55o2sfd,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,83,,1
did:plc:kgklif7fslftudxwmlfatcpn,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,84,,1
did:plc:f5dj3rc2hotr5fwd4fije5rj,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,85,,1
did:plc:lgpdtu3th6peeqh6lzxp5zta,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,86,,1
did:plc:z4nvowbotctpn7kyxbuts4lf,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,87,,1
did:plc:pmcuuiomsv2xox73kamaxpt7,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,88,,1
did:plc:jbipsbdwvovmv56tqeha3fgo,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,89,,1
did:plc:abrutreg2jrxwfdwbssl4cbj,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,90,,1
did:plc:fbtil5wmko3eq42axwbqrcd6,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,91,,1
did:plc:ahenx3pmzwsblmadbds7u7cj,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,92,,1
did:plc:gazrsaf267pgfllm6xbuefsx,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,93,,1
did:plc:ii4aheggc6ctvhc3vmuw35if,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,94,,1
did:plc:ggaainusdf6ntawxfw34jrtb,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,95,,1
did:plc:4odf7iapnxmqheuihthbty2p,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,96,,1
did:plc:g6ogixb77v2cu37jka3sdkxs,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,97,,1
did:plc:nlelhuhjbbf3zqn26chrc2oj,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,98,,1
did:plc:g5osnu4dyp5jktwbp5vrqmwu,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,99,,1
did:plc:vzwczzroqmi3yfnnskdigfjh,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,100,,1
did:plc:yglseqky3xgoqv5x63utq3l6,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,101,,1
did:plc:cqjgfghyf5gu64z26lzmsmeq,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,102,,1
